dissimilarity_5_180,correlation_5_180,energy_5_180,homogeneity_5_180,contrast_5_180,dissimilarity_9_180,correlation_9_180,energy_9_180,homogeneity_9_180,contrast_9_180,dissimilarity_13_180,correlation_13_180,energy_13_180,homogeneity_13_180,contrast_13_180,dissimilarity_25_180,correlation_25_180,energy_25_180,homogeneity_25_180,contrast_25_180,dissimilarity_5_45,correlation_5_45,energy_5_45,homogeneity_5_45,contrast_5_45,dissimilarity_9_45,correlation_9_45,energy_9_45,homogeneity_9_45,contrast_9_45,dissimilarity_13_45,correlation_13_45,energy_13_45,homogeneity_13_45,contrast_13_45,dissimilarity_25_45,correlation_25_45,energy_25_45,homogeneity_25_45,contrast_25_45,folder_name
0.47179171,0.485232032,0.066186497,0.179337326,0.246567933,0.441660671,0.363652967,0.064597841,0.196717739,0.223314612,0.341672155,0.658551035,0.071095462,0.334957166,0.134722088,0.400459942,0.502372605,0.067501714,0.304556096,0.171304668,0.47179171,0.485232032,0.066186497,0.179337326,0.246567933,0.340912518,0.523128331,0.067652129,0.304654341,0.151799703,0.323235597,0.694043978,0.070257421,0.325597407,0.139701741,0.374864466,0.620390999,0.065760748,0.269929867,0.165214291,agricultural
0.443872097,0.388721431,0.074246996,0.18671247,0.212257502,0.414951082,0.284362712,0.07289792,0.204104023,0.191836009,0.316926122,0.649521276,0.078314857,0.356325665,0.108429317,0.368221568,0.487398326,0.075055359,0.322756892,0.139237588,0.443872097,0.388721431,0.074246996,0.18671247,0.212257502,0.321775799,0.46788821,0.074774696,0.313396209,0.129552963,0.300312661,0.691621532,0.076783188,0.328942718,0.10983824,0.349077059,0.591412628,0.073140652,0.276101603,0.137806533,agricultural
0.486279124,0.396647068,0.061977923,0.166285419,0.250443631,0.461735391,0.276816588,0.059470862,0.181694602,0.232118677,0.367921525,0.61588643,0.061267682,0.302126875,0.142428207,0.424648648,0.462782703,0.058380006,0.275706261,0.180769647,0.486279124,0.396647068,0.061977923,0.166285419,0.250443631,0.366118622,0.43526425,0.059825159,0.27573059,0.164526755,0.346912911,0.655440088,0.060323611,0.28475453,0.145247805,0.392644568,0.600734782,0.056765375,0.235975962,0.168629403,agricultural
0.446254087,0.35322845,0.072087524,0.178799616,0.204269276,0.418886641,0.241733656,0.071532718,0.192413013,0.186637374,0.311425029,0.642065843,0.079147732,0.367682526,0.102298095,0.373483965,0.448941724,0.074043562,0.311217721,0.139896024,0.446254087,0.35322845,0.072087524,0.178799616,0.204269276,0.321091,0.432352482,0.074557011,0.320844492,0.126944592,0.286036927,0.699937564,0.080298768,0.359065075,0.100109983,0.340421314,0.587307252,0.074596884,0.286569751,0.130486828,agricultural
0.514921235,0.76465444,0.036729393,0.271054515,0.36225119,0.621053669,0.491946682,0.029960525,0.213107041,0.482705401,0.757457734,0.452864138,0.027325589,0.165509421,0.567226312,0.824031682,0.335667765,0.02657648,0.154729779,0.638955218,0.514921235,0.76465444,0.036729393,0.271054515,0.36225119,0.619916927,0.427926563,0.029382913,0.212698611,0.482278106,0.752430258,0.435455702,0.026395714,0.150942574,0.625175607,0.770639151,0.464343987,0.026073999,0.13943072,0.612200066,agricultural
0.570301913,0.682334445,0.024529934,0.166902616,0.355411855,0.724515922,0.313006726,0.024058921,0.084553945,0.510721673,0.702141442,0.421091531,0.023598992,0.146501851,0.473391867,0.797696285,0.219275506,0.024703908,0.133398573,0.578979042,0.570301913,0.682334445,0.024529934,0.166902616,0.355411855,0.695988637,0.247660239,0.023977313,0.104816011,0.4972157,0.653384778,0.474956464,0.022830861,0.138996369,0.466320578,0.584827705,0.638329828,0.023648348,0.152819468,0.356478574,agricultural
0.525615608,0.648377944,0.031142048,0.194645523,0.310671369,0.656586265,0.318149886,0.030522277,0.087559531,0.413031545,0.649096417,0.384781428,0.029604943,0.16467119,0.407887827,0.733515397,0.193751264,0.03063887,0.138842251,0.485953015,0.525615608,0.648377944,0.031142048,0.194645523,0.310671369,0.629269741,0.251551437,0.029830573,0.10999188,0.403135515,0.603973889,0.438309689,0.028545475,0.154851083,0.402198771,0.537728589,0.614333191,0.029588396,0.167781703,0.303931223,agricultural
0.678468246,0.43361216,0.031761569,0.154603782,0.511324999,0.754784076,0.155968426,0.030730078,0.092903152,0.577940863,0.336954653,0.888957949,0.046790137,0.321672474,0.114252561,0.288682351,0.926497085,0.053408894,0.416811279,0.083881827,0.678468246,0.43361216,0.031761569,0.154603782,0.511324999,0.730619315,0.152570223,0.032454449,0.076588164,0.51877376,0.266428032,0.989038776,0.051227246,0.356126598,0.082418039,0.758498318,0.308315497,0.029945934,0.094406143,0.551073722,agricultural
0.726077024,0.544840525,0.027076154,0.143333583,0.561281233,0.851755184,0.156093001,0.026540239,0.116794053,0.754521718,0.38622146,0.890060937,0.037447859,0.270795602,0.148255403,0.372206196,0.893673902,0.03959899,0.318402453,0.13755543,0.726077024,0.544840525,0.027076154,0.143333583,0.561281233,0.853584103,0.055439392,0.027965372,0.097461213,0.751784101,0.340845101,0.962533523,0.038218219,0.275663145,0.131399225,0.860469393,0.314232867,0.025817228,0.104603676,0.714740699,agricultural
0.840997498,0.551420274,0.018779163,0.105256601,0.731550233,1,0.15066746,0.018918722,0.078516173,1,0.448670773,0.885328932,0.024885079,0.238676817,0.201005634,0.417443472,0.898359517,0.02738981,0.289189692,0.175763278,0.840997498,0.551420274,0.018779163,0.105256601,0.731550233,1,0.045724838,0.020257511,0.073089535,1,0.381728326,0.964455696,0.026552066,0.260446723,0.170753513,1,0.319405165,0.01848419,0.077654368,0.934819835,agricultural
0.769825164,0.115764192,0.049513683,0.093095635,0.551625675,0.636732464,0.255447,0.044529795,0.098369876,0.381119169,0.163496619,1,0.08878352,0.62515616,0.027167801,0.161933224,1,0.094104213,0.698387395,0.026585534,0.769825164,0.115764192,0.049513683,0.093095635,0.551625675,0.461511689,0.554190572,0.047183589,0.138158303,0.210894316,0.299219973,0.930251515,0.05437172,0.259335606,0.091463773,0.301907386,0.965603509,0.055337409,0.257206865,0.088822605,agricultural
0.250120343,0.542323342,0.178141403,0.290454777,0.060375458,0.240026993,0.406872857,0.173771593,0.303518329,0.057759858,0.235966672,0.525073743,0.16965969,0.378141363,0.051296559,0.181963583,0.690005309,0.194077025,0.598333836,0.032704904,0.250120343,0.542323342,0.178141403,0.290454777,0.060375458,0.238222374,0.324599341,0.178452594,0.315594851,0.058346557,0.254148209,0.433819303,0.171610368,0.293237242,0.064477638,0.25925431,0.421648864,0.184624073,0.30078787,0.065672004,agricultural
0.698354057,0.150568857,0.054569254,0.110915792,0.468769438,0.569686764,0.251538169,0.04635309,0.171796644,0.337063591,0.156094673,0.997705401,0.098926529,0.660985009,0.024746252,0.177512769,0.981820068,0.091969441,0.623631713,0.030952142,0.698354057,0.150568857,0.054569254,0.110915792,0.468769438,0.412796962,0.536985359,0.048618421,0.251476365,0.19140566,0.269775439,0.926748127,0.062163947,0.359613161,0.081105627,0.279687488,0.958483168,0.060573502,0.315837378,0.080709913,agricultural
0.576788885,0.32812161,0.0541021,0.195272366,0.374132696,0.547666441,0.21787682,0.052840609,0.201375714,0.341926139,0.241515347,0.917538118,0.083422846,0.434431337,0.059938637,0.608751797,0.19569189,0.052887543,0.211613556,0.354846751,0.576788885,0.32812161,0.0541021,0.195272366,0.374132696,0.550758505,0.130548379,0.051967091,0.185619775,0.338231613,0.432394674,0.614688367,0.060264997,0.22914903,0.21576871,0.61496999,0.353245448,0.054875465,0.082626137,0.331152186,agricultural
0.698409656,0.568720624,0.03103141,0.144340501,0.509551805,0.852245584,0.130245771,0.030184412,0.106768375,0.734312888,0.341282167,0.920623364,0.044258862,0.296551419,0.113652779,0.314740887,0.934282824,0.047876588,0.355728623,0.097068667,0.698409656,0.568720624,0.03103141,0.144340501,0.509551805,0.864384992,0,0.032812726,0.095494592,0.75073471,0.285458958,1,0.046655871,0.321097519,0.092408211,0.853375584,0.298548564,0.02957578,0.101321648,0.686564047,agricultural
0.694224201,0.676521262,0.020682468,0.139256843,0.525470778,0.918991767,0.252130849,0.019445334,0.070731626,0.809935318,0.86807737,0.394243454,0.018872954,0.122810476,0.723576903,0.998006668,0.171560492,0.019319198,0.112559689,0.902141018,0.694224201,0.676521262,0.020682468,0.139256843,0.525470778,0.875016831,0.191033709,0.019027051,0.083850234,0.780343048,0.807127015,0.450456644,0.018617551,0.116403991,0.710164706,0.716509916,0.635619702,0.019568813,0.12499064,0.527654274,agricultural
0.688388034,0.054389437,0.067599321,0.112322381,0.454554821,0.354046201,0.685383052,0.05197948,0.240262686,0.133655415,0.457298095,0.595453582,0.048464349,0.187953021,0.184017551,0.691930245,0,0.059321178,0.119269543,0.392178685,0.688388034,0.054389437,0.067599321,0.112322381,0.454554821,0.196293813,0.902585114,0.077654045,0.497413294,0.046212244,0.589284989,0.272855813,0.048542908,0.114101781,0.330334694,0.649531778,0.131888206,0.062320915,0.109249314,0.381094335,agricultural
0.48906933,0.276262998,0.068871509,0.166597973,0.24170762,0.236241614,0.785044377,0.079119475,0.400279198,0.064431767,0.4910512,0.26189944,0.069829098,0.173338466,0.213528773,0.282968698,0.75142901,0.075303067,0.385770713,0.076756811,0.48906933,0.276262998,0.068871509,0.166597973,0.24170762,0.269984049,0.66550845,0.069817778,0.347855945,0.084567253,0.476264947,0.255301136,0.068153269,0.157709077,0.226240208,0.288804976,0.806432049,0.067971521,0.308672871,0.087185731,agricultural
0.65900616,0.382557172,0.041634442,0.092126581,0.39831209,0.474975655,0.506638044,0.043027591,0.204336165,0.25288554,0.645170636,0.302784578,0.039880451,0.156078429,0.379362586,0.681508595,0.262484015,0.040417875,0.105672546,0.373420764,0.65900616,0.382557172,0.041634442,0.092126581,0.39831209,0.46217418,0.460727419,0.043309461,0.21007379,0.245437326,0.511132878,0.527747901,0.041098524,0.190964167,0.288748458,0.521073656,0.546728548,0.041029477,0.18219146,0.285467497,agricultural
0.532090582,0.449862332,0.047314661,0.159137471,0.280636352,0.492556825,0.344753741,0.046553434,0.193887492,0.256578941,0.342518987,0.771474379,0.054419559,0.293638855,0.111678408,0.530694602,0.392415001,0.046699151,0.200904022,0.243816291,0.532090582,0.449862332,0.047314661,0.159137471,0.280636352,0.416769489,0.443726711,0.048467687,0.247941107,0.197142186,0.267418298,0.891497586,0.062248467,0.377268541,0.084942681,0.419769128,0.68017577,0.047167865,0.213013184,0.174164844,agricultural
